Trait,Way,DNNGP,DeepGS,DLGWAS,gmlp,LCNN,KNN,Random Forest,XGBoost,MLP,SVR,BayesA,BayesB,BayesC,BL,BRR,RRBLUP,LASSO,SPLS,RR,BRNN,GEG2P(v3),,"""Wheat"", ""Rice"", ""Chickpea"", ""Soybean"""
Flowering Time,avg,0.707492739,0.694526291,0.691602283,0.692691839,0.642915596,0.611924594,0.797771581,0.793590995,0.684039452,0.571552101,0.766679184,0.769076464,0.761067745,0.760549289,0.719131306,0.722099186,0.768505168,0.664171262,0.722099173,0.62221779,0.822978792,,
Yield,avg,0.567809971,0.579386726,0.573915176,0.541156422,0.542082867,0.471015375,0.546309492,0.542686064,0.48223101,0.372262816,0.593160926,0.598046443,0.592284416,0.590460559,0.582718926,0.583470895,0.585440585,0.53428608,0.583470884,0.527232298,0.616158158,,
Flowering Time,SE,0.003271,0.006888,0.003757,0.006316,0.007705,0.004993,0.003127,0.004482,0.006073,0.007105,0.003108,0.003168,0.003369,0.002736,0.003281,0.003163,0.002832,0.002442,0.003163,0.019959,0.002736,,
Yield,SE,0.005511,0.004729,0.004769,0.0076485,0.008553,0.0049735,0.005887,0.005378,0.0077825,0.0075325,0.00484,0.004903,0.0047175,0.004554,0.0042125,0.0042645,0.005454,0.005146,0.0042645,0.01205,0.004527,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Trait,Way,DNNGP,DeepGS,DLGWAS,gmlp,LCNN,KNN,Random Forest,XGBoost,MLP,SVR,BayesA,BayesB,BayesC,BL,BRR,RRBLUP,LASSO,SPLS,RR,BRNN,GEG2P(v3),,
Flowering Time,avg,0.874322,0.857072,0.88131,0.902577,0.878735,0.871287,0.886392,0.884127,0.877592,0.907992,0.897089,0.898129,0.896799,0.895881,0.895807,0.894109,0.884969,0.871802,0.89408,0.877995,0.919755608,,
Plant Architecture,avg,0.763175,0.857327,0.851106,0.855432,0.845255,0.825586,0.843464,0.842997,0.853555,0.867154,0.859976,0.862022,0.861904,0.857767,0.861205,0.860596,0.851856,0.831707,0.860627,0.841028,0.884852,,
Yield,avg,0.369033,0.347652,0.232992,0.32914,0.397268,0.36059,0.394976,0.348364,0.322943,0.398885,0.388984,0.396524,0.397529,0.395438,0.394684,0.39769,0.34027,0.322315,0.397778,0.38605,0.449091,,
Flowering Time,SE,0.009969552,0.01523366,0.01036487,0.009063846,0.011638603,0.011155697,0.008854133,0.008325553,0.010016643,0.008009605,0.00919161,0.008973157,0.009213387,0.009029609,0.009139941,0.009306945,0.007786051,0.009080474,0.009301337,0.012332195,0.008060327,,
Plant Architecture,SE,0.032664245,0.00782774,0.007520023,0.009599724,0.008846767,0.012684559,0.007616549,0.006022004,0.010852226,0.008027768,0.006642674,0.006629081,0.006574919,0.007072411,0.006590694,0.006671943,0.007237148,0.006804699,0.006658518,0.008822582,0.006515382,,
Yield,SE,0.021654483,0.021121779,0.041596229,0.024992133,0.016402563,0.013291085,0.019559432,0.022101823,0.03190265,0.020059008,0.020981767,0.0213173,0.020429765,0.019624209,0.020795822,0.020671212,0.032600605,0.019934514,0.020691157,0.023041609,0.019372691,,
,,,,,,,,,,,,,,,,,,,,,,,,
Trait,Way,DNNGP,DeepGS,DLGWAS,gmlp,LCNN,KNN,Random Forest,XGBoost,MLP,SVR,BayesA,BayesB,BayesC,BL,BRR,RRBLUP,LASSO,SPLS,RR,BRNN,GEG2P(v3),,
